Mm_genes,Hs_genes
Dmrtc1c1,None
Dmrtc1c1.1,None
Hdac8,HDAC8
Ms4a15,MS4A15
Cbln4,CBLN4
S1pr3,S1PR3
Klra3,None
Krt77,KRT77
Krt74,KRT74
Dgat2l6,DGAT2L6
Klra7,None
Nms,NMS
Klri1,None
Krt83,None
Krt86,KRT86
Krt81,KRT81
Klk11,KLK11
Syngap1,SYNGAP1
Adgrf3,None
Mageb18,MAGEB18
Ankrd23,ANKRD23
Obp1b,None
Obp1a,None
Gm10220,None
Gm5862,None
Tuba3a,TUBA3E
Wfdc13,WFDC13
Prkag1,PRKAG1
Lpar5,LPAR5
BC003965,None
Gbx1,GBX1
Xlr5c,None
Clec4b2,None
Xlr4b,None
Gm14685,None
Defb41,DEFB110
Pi15,PI15
Nnat,NNAT
Blcap,BLCAP
X4930444P10Rik,None
Xkr9,XKR9
Myl9,MYL9
Pex26,PEX26
Romo1,ROMO1
X4933402N22Rik,None
Arfgef1,ARFGEF1
Speer3,None
Zic3,ZIC3
Ccdc87,CCDC87
Htatsf1,HTATSF1
Map7d3,MAP7D3
Vxn,VXN
Sptbn2,None
Slxl1,None
Zfp991,None
Rex2,None
Rtl8b,None
Rtl8a,None
Zfp760,None
Zfp948,None
Gm7168,None
Zfp160,None
Vmn1r227,None
Olfr1321,None
Gtf2f2,GTF2F2
Bpifb9b,None
Bpifb9a,BPIFB9P
Bpifb3,BPIFB3
Bpifb6,BPIFB6
Mkrn2os,None
Lrch1,LRCH1
Afdn,AFDN
Mas1,MAS1
Tcp1,TCP1
Tm9sf4,TM9SF4
Rhox9,None
LOC115488617,None
Gm7735,None
Gm33798,None
X1110025L11Rik,None
Gm10228,None
Gm10229,None
X2310034C09Rik,None
Tcf15,TCF15
Grxcr1,GRXCR1
Cyp2d40,None
Cyp2d11,None
Cyp2d9,None
X1500009C09Rik,None
Cenpm,CENPM
Tnfrsf13c,TNFRSF13C
Gm4907,None
Ccdc134,CCDC134
Ninl,NINL
Mei1,MEI1
Agtr2,AGTR2
Cst7,CST7
Zfp442,None
Zfp120,None
Tex13c3,None
Insm1,INSM1
Csnka2ip,CSNKA2IP
Btg1b,None
Olfr203,None
Ndufaf2,NDUFAF2
Col8a1,COL8A1
Macrod2,MACROD2
Pick1,PICK1
Ssxb9,None
Ssxb10,None
Lgals1,LGALS1
Il2rb,IL2RB
Vmn1r43,None
Vmn1r42,None
Vmn1r44,None
Uba52,UBA52
Phf11d,None
Apol9b,None
Amn1,AMN1
Apol7b,None
Olfr461,None
Efcc1,EFCC1
Ap5s1,AP5S1
Cenpb,CENPB
Shroom4,SHROOM4
Usf3,None
Cma2,None
Ddrgk1,DDRGK1
Nat8f4,None
Noto,NOTO
Slc4a5,None
Tlx2,TLX2
Aup1,AUP1
Htra2,HTRA2
Dok1,DOK1
Reg3d,None
Gml,None
D430041D05Rik,None
Chrac1,CHRAC1
Rnase13,RNASE13
Cep152,CEP152
Rpl34.ps1,None
Gm7247,None
Rnase12,RNASE12
Pnp2,None
Gmnc,GMNC
Olfr742,None
Olfr725,None
Duox2,None
Uty,UTY
Ndufa11b,None
Gm5800,None
Aard,AARD
Gng5,GNG5
Olfr169,None
Doxl2,None
Clca4a,CLCA4
Zfp467,None
Myadm,MYADM
Olfr458,None
Zfyve19,ZFYVE19
Mgam,None
Gml2,None
Gm4841,None
Actc1,ACTC1
Gjd2,GJD2
Efcab1,EFCAB1
Olfr1278,None
Clec16a,CLEC16A
Gpr88,GPR88
Myoz1,MYOZ1
Flnc,FLNC
Tmem167b,TMEM167B
Trp53i11,TP53I11
Sars,None
Celsr2,CELSR2
Cry2,CRY2
Psrc1,PSRC1
Mybphl,MYBPHL
Sort1,SORT1
Ptprz1,PTPRZ1
Psma5,PSMA5
Il3ra,IL3RA
Gstm6,None
Col28a1,COL28A1
Rap1a,RAP1A
Olfr1259,None
Olfr1189,None
Olfr1188,None
Olfr1145,None
Olfr1143,None
Olfr152,None
Olfr1140,None
Olfr1132,None
Olfr1131,None
Csde1,CSDE1
H2bc21,H2BC11
H2ac20,H2AC20
Sf3b4,SF3B4
Sp9,SP9
Gm128,None
Selenbp1,SELENBP1
Cgn,CGN
Ssb,SSB
Lce3f,None
Lce1j,None
Lce1i,None
Lce1e,None
Lce1a2,None
Sprr2a2,None
Clk2,CLK2
Dap3,DAP3
Msto1,MSTO1
Syt11,SYT11
Olfr366,None
Olfr338,None
Zfp619,None
Zfp114,None
Zbtb34,None
Vmn2r5,None
Gm6793,None
Urm1,URM1
Sry,SRY
H2al1j,None
Slc25a31,SLC25A31
Usp9y,None
Ddx3y,DDX3Y
Eif2s3y,None
Uba1y,None
Slc7a14,SLC7A14
Lcn11,None
Dytn,DYTN
Cdk7,CDK7
Pde7a,PDE7A
Zbtb10,None
X1700008P02Rik,None
Nxph2,NXPH2
Fgfr1op,None
Adgrv1,ADGRV1
Nr2f1,NR2F1
Zfp72,None
Zdhhc11,ZDHHC11B
Zfp874a,None
Zfp825,None
Gprin1,GPRIN1
Fam8a1,None
Serpinb6e,None
Dusp22,DUSP22
Prl2b1,None
Prl6a1,None
H3c1,H3C4
H4c2,None
H3c2,H3C2
H2bc7,H2BC13
H2ac6,H2AC15
H2ac8,H2AC16
H3c6,None
H4c6,None
Vmn1r223,None
Vmn1r203,None
Vmn1r199,None
Vmn1r197,None
Vmn1r196,None
Vmn1r195,None
Vmn1r194,None
Vmn1r188,None
H2bc11,None
H2ac11,H2AC4
H2ac12,H2AC12
Hist1h2br,None
Hist1h4n,None
Hist1h4m,None
Hist1h2bq,None
Hist1h2bp,H2BC17
Hist1h2an,H2AC11
H3c3,None
Ctxn3,CTXN3
Prdm6,PRDM6
Gm10267,None
Olfr707,None
Olfr810,None
Olfr9,None
Zfp616,None
Epc2,EPC2
Lyz1,LYZ
Tmem19,TMEM19
Scyl2,SCYL2
Gm4925,None
Dazap1,DAZAP1
Tspear,TSPEAR
Krtap10.4,None
Krtap12.1,None
Gm10272,None
Gm11733,None
Ank3,ANK3
Cd300ld4,None
Strada,STRADA
Pex11g,PEX11G
Marcks,MARCKS
Sult3a1,None
Nkain2,NKAIN2
Pcgf1,PCGF1
Taar5,TAAR5
Taar4,TAAR4P
Taar3,TAAR3P
X4930444G20Rik,None
Gm11568,None
Gm11563,None
X4930572O03Rik,None
Krtap3.2,None
Krtap3.3,None
Zfp975,None
Arid1b,ARID1B
Ube2u,None
Zfp820,None
Psmb3,PSMB3
Tmem100,TMEM100
Msi2,MSI2
Wfdc17,None
Gm10277,None
Fbp1,FBP1
Cacng7,CACNG7
Fam57a,None
Ccdc92b,None
Olfr23,None
Olfr390,None
Olfr1,None
Nlrp1a,NLRP1
Ahnak,None
Sat2,SAT2
Sco1,SCO1
Pabpn1l,PABPN1L
X4930438A08Rik,None
Irgm2,None
X9930111J21Rik2,None
X9930111J21Rik1,None
Atxn1l,ATXN1L
Spdl1,SPDL1
Insyn2b,INSYN2B
Hba.a2,None
Hba.a1,None
B3gnt9,B3GNT9
X4933402J07Rik,None
Olfr372,None
Fcho1,FCHO1
Ell,ELL
Ssbp4,None
Sp140,None
Sp110,SP110
Fam149a,FAM149A
Fat1,None
Mfhas1,MFHAS1
Slc22a14,None
Ndufaf3,NDUFAF3
Gmppb,GMPPB
Slc35g2,SLC35G2
Ddx43,None
Trcg1,None
Scn2b,SCN2B
Mpzl3,MPZL3
Ccdc153,CCDC153
Olfr894,None
Pate14,None
Eif3g,EIF3G
Mmp27,None
Fbxw22,None
Rnf213,RNF213
Tmem235,TMEM235
Qrich2,QRICH2
Trim80,None
Krtap31.1,None
Krtap9.1,None
Fbxo47,FBXO47
Gpr179,None
Hsf5,HSF5
Ccnd1,CCND1
Evi2,None
Amy2a1,None
Plpp4,PLPP4
Prok1,PROK1
Itgad,ITGAD
Prss36,PRSS36
Capza1,CAPZA1
Olfr59,None
Olfr406,None
Olfr43,None
Olfr403,None
Olfr402,None
Olfr401,None
Olfr391,None
Olfr389,None
Ampd1,AMPD1
Fbxo39,FBXO39
Tmem256,TMEM256
Hs3st3b1,HS3ST3B1
Olfr2,None
Cyp3a57,None
Zscan25,None
Olfr658,None
Olfr558,None
Art5,ART5
Xntrpc,None
Rnf121,RNF121
Il18bp,IL18BP
Serpinh1,SERPINH1
Olfr313,None
Vmn2r89,None
Vmn2r73,None
Olfr291,None
Tlnrd1,TLNRD1
Ccl26,None
Gm9696,None
Adamtsl3,None
Erich6,ERICH6
Cldn3,CLDN3
Fam217b,None
Chchd2,CHCHD2
Ctcfl,CTCFL
Tmem132b,None
Ifi214,None
Fcrl6,FCRL6
Rgma,RGMA
Nsmce3,NSMCE3
Fcrlb,FCRLB
Peg12,None
Mkrn3,MKRN3
Wfdc10,None
Wfdc16,None
Wfdc6b,None
Ccdc190,CCDC190
Wfdc8,WFDC8
Top1,TOP1
Mrgprb3,None
Mrgprb1,MRGPRX2
Mrgprb4,None
Mrgprb5,None
Mrgprx1,MRGPRX4
Spaca4,SPACA4
Ntn5,NTN5
Rasal2,None
Slc6a21,None
Slc17a7,SLC17A7
Mn1,MN1
Gm572,None
Fv1,None
Gm4788,None
Vmn2r84,None
Vsig10l,VSIG10L
Zfp992,None
Aadacl4,None
Gm13040,None
Gm13089,None
BC080695,None
Gm13119,None
Srarp,SRARP
Lrrc8b,LRRC8B
Sox13,SOX13
Etnk2,ETNK2
Ren1,REN
Rnf186,RNF186
D5Ertd577e,None
Lactbl1,None
C87414,None
Htr1d,HTR1D
Albfm1,None
Runx3,RUNX3
Cntnap5a,CNTNAP5
Utp3,UTP3
Sars2,SARS2
Csn1s1,CSN1S1
Ugt2b36,None
Eid2b,None
Gtsf1l,GTSF1L
Zfp974,None
Pla2g4d,PLA2G4D
Tmem200b,None
Rmdn3,RMDN3
Rbm44,RBM44
Fryl,None
Tmem35b,TMEM35B
Dgkd,DGKD
Ceacam20,CEACAM20
Rbm47,RBM47
Psg21,None
Psg27,None
Psg25,None
Psg26,None
Pnmal2,None
Cited4,CITED4
Zmynd12,None
Bicra,BICRA
Sult2a6,None
Sult2a2,SULT2A1
Zswim9,ZSWIM9
Vmn1r87,None
Vmn1r86,None
Vmn1r85,None
Olfr1339,None
Olfr1340,None
Zscan18,None
Zscan4f,None
Aurkc,AURKC
Vmn2r34,None
Vmn2r42,None
Vmn2r30,None
Olfr1121,None
Olfr1116,None
Olfr1115,None
Olfr1113,None
Gm1673,C4orf48
Zfp804a,None
Trabd2b,TRABD2B
Skint3,None
Cryge,None
Ccnyl1,None
Lilra5,None
Olfr1100,None
Ldlrad1,None
Gad1,GAD1
Ccdc173,CCDC173
Gm12794,None
Zfp352,None
Ifna4,None
Gm13288,None
Klhl9,KLHL9
Speer4d,None
Rraga,RRAGA
Tgfbrap1,TGFBRAP1
Il1rl2,IL1RL2
Olfr356,None
Rabepk,RABEPK
Dnajc25,DNAJC25
Defb44.ps,None
Actl7a,ACTL7A
Actl7b,ACTL7B
Olfr270,None
Acnat1,None
Foxe1,FOXE1
Ccin,CCIN
Olfr155,None
Hrct1,HRCT1
Ccl19,CCL19
Ndufb6,NDUFB6
Gm136,C6orf163
Sdr16c6,SDR16C6P
Camkmt,CAMKMT
Impdh2.ps,None
Rasgrp3,None
Ces1a,None
Safb,SAFB
Zfp827,None
Olfr806,None
Treml2,TREML2
Ptges3,PTGES3
Lrrc73,None
Yipf3,YIPF3
Jund,JUND
Nr2c2ap,NR2C2AP
Trim75,None
X1700029J07Rik,None
Ccdc110,CCDC110
Spx,SPX
Mboat4,MBOAT4
Tex24,None
Tas2r140,TAS2R14
Tas2r115,None
Tas2r121,None
Klrh1,None
Gm6040,None
Defb46,None
Srsf3,SRSF3
Arhgef10,ARHGEF10
Serpina16,None
Smim15,SMIM15
Olfr1357,None
Wfikkn1,WFIKKN1
Gm10318,None
Ccdc78,CCDC78
Gm10319,None
Cecr2,CECR2
Timm8a2,None
Npw,None
Syndig1l,SYNDIG1L
Vrtn,VRTN
X2210408I21Rik,None
Slc25a16,SLC25A16
Zfp213,None
Zfp957,None
X1700086L19Rik,None
Zfp946,None
Zfp942,None
Fpr.rs6,None
Fpr.rs7,None
Zfp65,None
Zfp58,None
X2610044O15Rik8,None
Gpr31b,None
Bves,BVES
Tcp10a,None
Armc2,ARMC2
E230015B07Rik,None
Mfsd4b3.ps,None
Tia1,TIA1
Trappc3l,TRAPPC3L
Egr4,EGR4
Lsmem1,LSMEM1
C1qtnf9,C1QTNF9B
Setdb2,SETDB2
Reg3b,REG3A
Tbpl1,TBPL1
Mcpt9,None
Map3k5,MAP3K5
Hpcal1,HPCAL1
Ect2l,None
X2410004P03Rik,None
Rpl23,RPL23
Grid2,GRID2
Vmn1r27,None
Psmg4,PSMG4
Serpinb9h,None
Dtnb,DTNB
Ccnb1ip1,CCNB1IP1
Krtap26.1,None
Zfp777,None
H2ac7,H2AC17
Olfr437,None
Ptgdr,PTGDR
Vmn1r212,None
Vmn1r209,None
Vmn1r208,None
Olfr455,None
Nutf2.1,None
Tmem139,None
Olfr172,None
H2ac13,H2AC8
Gm10334,None
Prss3,None
Try10,None
Olfr263,None
Atp5md,ATP5MK
Gprin2,None
Pcnp,PCNP
Klrg2,KLRG2
X3425401B19Rik,None
Nt5dc2,None
Cfap44,CFAP44
Akr1c19,None
Tigit,TIGIT
Cpa2,CPA2
Cstdc5,None
Rnls,RNLS
Fam189a2,FAM189A2
Gm10340,None
Olfr1477,None
X2510002D24Rik,None
Gm4952,None
Rimbp3,RIMBP3C
Cebpd,CEBPD
Eef1g,EEF1G
Tut1,TUT1
Mta2,MTA2
Eml3,EML3
Rom1,ROM1
B3gat3,B3GAT3
Ganab,GANAB
Ints5,INTS5
X1810009A15Rik,None
Uqcc3,UQCC3
Ubxn1,UBXN1
Lrrn4cl,LRRN4CL
Bscl2,BSCL2
Gng3,GNG3
Hnrnpul2,HNRNPUL2
Ttc9c,TTC9C
Zbtb3,ZBTB3
Polr2g,POLR2G
Foxr2,FOXR2
Snx29,SNX29
Rtl4,RTL4
Tex13a,None
Gm960,None
Sms,SMS
Mpst,MPST
Csf2rb,CSF2RB
Ncf4,NCF4
Apol7e,None
Tmem28,None
Spin4,SPIN4
Gspt2,GSPT2
Smpd5,SMPD5
Gm5941,None
Cldn34b3,None
DXBay18,None
X4933412E24Rik,None
Zhx2,ZHX2
Olfr1320,None
Rhox12,None
Rhox7a,None
Rhox3h,None
Rhox4e,None
Rhox4b,None
Rhox3a,None
Rhox1,None
Gm14525,None
X2610005L07Rik,None
X6820431F20Rik,None
Fthl17e,None
Ssxb5,None
Apcdd1,APCDD1
Ccdc112,CCDC112
Mcc,None
Gm94,C5orf46
Lrrtm2,LRRTM2
Ppia,PPIA
Mroh9,None
Vmn1r4,None
Nutm2,NUTM2B
Adam25,ADAM20
Fndc1,None
Vmn2r121,None
X6720489N17Rik,None
Ccnf,CCNF
Cldn34b1,None
Ang,ANG
BC061237,None
Gm10354,None
Sept5,None
Tuba1a,TUBA1A
Trim6,TRIM6
Fthl17f,None
Taf1a,TAF1A
Gm5592,None
Klf12,KLF12
C2cd6,None
Dppa2,DPPA2
Psmb11,PSMB11
Nanos1,NANOS1
X1700024G13Rik,None
Xlr5b,None
Mroh5,None
Gm10364,None
Ppp1r3e,PPP1R3E
Phf20l1,PHF20L1
Hhla1,HHLA1
Gm525,C17orf67
Lratd2,None
Tmem253,TMEM253
Slc39a2,None
Eddm3b,None
Ptrh2,PTRH2
X4930503E14Rik,None
Ear2,None
Ang6,None
Ear1,None
Slfn2,None
Slfn10.ps,None
Zfp9,None
Gm5460,None
Gdf2,GDF2
Lyrm9,LYRM9
Adam1a,ADAM1A
Zfp783,None
Mansc4,MANSC4
Spef2,SPEF2
Duxbl3,None
Plac9b,None
Duxbl2,None
Rpl37rt,None
X1500011B03Rik,None
Smim10l1,None
Olfr31,None
Olfr381,None
Olfr380,None
Klra10,None
Myo18b,None
Klra14.ps,None
Gm6588,None
Gm10044,None
Gm5797,None
Gm16440,None
Gm10408,None
Lrcol1,LRCOL1
X4930522L14Rik,None
Acrbp,ACRBP
Grcc10,C12orf57
Zfp951,None
Vmn2r27,None
Vmn2r24,None
Abcb5,ABCB5
Ahnak2,None
E330014E10Rik,None
Gm7982,None
Gm6351,None
BC061212,None
Cep170b,CEP170B
Tmprss11a,TMPRSS11A
Rybp,RYBP
Gpr27,GPR27
X1700123L14Rik,None
Samt2,None
Nfxl1,None
Gm2016,None
Gm12258,None
Noxred1,NOXRED1
Gm10439,None
Gm15109,None
Gm15107,None
Gm15080,None
Trpc5os,TRPC5OS
Sod3,SOD3
Nup62cl,None
Ripply1,RIPPLY1
Ptgr2,PTGR2
Tmsb15l,None
Bhlhb9,BHLHB9
Gprasp2,GPRASP2
Armcx5,ARMCX5
Adam4,None
Gm4787,None
Oip5,OIP5
X4933414I15Rik,None
Cpxcr1,CPXCR1
Cylc1,None
Vamp5,VAMP5
Gm732,None
Tent5d,None
Gpr174,GPR174
Gm5127,None
Fnd3c2,None
Uprt,UPRT
Dmrtc1b,None
Atoh1,ATOH1
Zxdb,ZXDB
Hbq1b,None
Mageb2,None
Cfap47,None
Srp54a,None
Cldn34b4,None
Smim9,SMIM9
Lrrc61,LRRC61
Drc1,DRC1
Olfr444,None
Olfr446,None
Gm10471,None
Gm7347,None
Speer4a,None
Xlr3b,None
Gm1141,None
Vma21,VMA21
Tmem185a,TMEM185A
X1810058I24Rik,None
X9030624G23Rik,None
Zfp449,None
Gm773,None
X5730507C01Rik,None
Bnip3l.ps,None
Ccdc160,CCDC160
Speer4c,None
Klf14,KLF14
Gm8773,None
Gm9,None
Gm14819,None
Gm10486,None
Gm10488,None
Gm1993,None
Nudt10,NUDT11
AU022751,None
Lrrc30,LRRC30
Arrdc5,ARRDC5
X9830107B12Rik,None
Esp1,None
Trim40,TRIM40
Trim10,TRIM10
Gm8909,None
H2.T.ps,None
H2.Bl,None
Gm6034,None
Mucl3,MUCL3
H2.Q6,None
H2.D1,None
Lst1,LST1
Ly6g6d,LY6G6D
Mpig6b,MPIG6B
C4b,C4B
H2.Ab1,None
H2.Ke6,None
Zfp414,None
Cyp4f15,None
Gm4924,None
Arhgdig,ARHGDIG
Wdr90,WDR90
Nme3,NME3
Eme2,EME2
Smok2b,None
Smok2a,None
Pnldc1,PNLDC1
Sft2d1,SFT2D1
Marc2,None
Ifi207,None
Ifi213,None
Sh2d1b2,SH2D1B
AA792892,None
Dok6,DOK6
Pappa2,None
Cep76,CEP76
Spink13,SPINK13
Gm4951,None
Ppp1r12b,PPP1R12B
Csnk1g3,CSNK1G3
Prr16,PRR16
Arl14epl,ARL14EPL
Spink11,None
Grxcr2,GRXCR2
Pcdhb22,None
X1700066B19Rik,None
Ecscr,ECSCR
Prob1,None
Serpinb3c,None
Serpinb3b,None
Gm10548,None
Gal3st2c,None
D2hgdh,D2HGDH
Cops9,COPS9
Fbxo36,FBXO36
Rab18,RAB18
Wdfy1,WDFY1
Catip,CATIP
Crygb,CRYGB
Nbeal1,None
Hspe1,HSPE1
Pgap1,PGAP1
Tmem88b,TMEM88B
Faap20,FAAP20
Klhl21,KLHL21
Rpl31,RPL31
Cenps,CENPS-CORT
Pramef20,None
X4931408C20Rik,None
Gm13102,None
Pramel4,None
Lmbrd1,LMBRD1
Ppp1r14bl,None
Cplane2,CPLANE2
Defb18,DEFB113
Zpld2,None
X5730409E04Rik,None
Sh3d21,SH3D21
Gm12888,None
Olfr1330,None
Olfr1331,None
Kncn,KNCN
Kti12,KTI12
Krtap5.5,None
LOC105243090,None
Efcab7,EFCAB7
Alg6,ALG6
I0C0044D17Rik,None
Spef1l,None
Cdkn2b,CDKN2B
Nps,NPS
Insyn2a,INSYN2A
Mup14,None
Mup11,None
Tufm,TUFM
Mup7,None
Iqck,None
Gm13305,None
Gm13306,None
Gm13304,None
Ccl27a,None
Il11ra1,IL11RA
Olfr472,None
Rbmxl2,None
Olfr716,None
Olfr17,None
Olfr713,None
Olfr1532.ps1,None
Olfr704,None
Olfr703,None
Olfr692,None
Olfr689,None
Olfr688,None
Mob3b,MOB3B
Olfr678,None
Olfr677,None
Olfr676,None
Olfr669,None
Olfr665,None
Olfr661,None
Olfr659,None
Olfr657,None
Olfr656,None
Olfr654,None
Olfr653,None
Olfr652,None
Olfr651,None
Trim30e.ps1,None
Olfr646,None
Olfr641,None
Olfr633,None
Olfr632,None
Hbb.bt,None
Olfr619,None
Olfr618,None
Olfr617,None
Olfr615,None
Olfr608,None
Olfr606,None
Olfr599,None
Olfr598,None
Olfr597,None
Olfr596,None
Olfr594,None
Olfr593,None
Olfr592,None
Olfr584,None
Olfr583,None
Olfr582,None
Olfr576,None
Olfr572,None
Olfr570,None
Olfr568,None
Olfr561,None
Olfr557,None
Trim68,TRIM68
Olfr556,None
Olfr555,None
Olfr554,None
Olfr553,None
Olfr552,None
Olfr551,None
Olfr550,None
Olfr549,None
Olfr547,None
Rhog,RHOG
Ggh,GGH
Ttpa,TTPA
Cnbd1,None
Olfr521,None
Olfr520,None
Klhl40,KLHL40
Gucy2d,None
B3gnt6,B3GNT6
Omp,OMP
LOC100862180,None
Slc22a13,SLC22A13
Exoc8,EXOC8
Mc1r,MC1R
Fbxw18,None
Fbxw15,FBXW12
Fbxw19,None
Fbxw16,None
Osgin1,OSGIN1
Mlycd,MLYCD
Fam169b,FAM169B
Snrnp40,SNRNP40
Svip,SVIP
Rbm15b,RBM15B
Mrgpra9,None
Ntf5,None
X7420426K07Rik,None
Rpl13a,RPL13A
X1700057G04Rik,None
Il4i1,IL4I1
Nlrc5,NLRC5
Klk5,None
Ces1h,None
Zfp976,None
Vmn2r.ps54,None
Zfp788,None
AW146154,None
Plekhf1,PLEKHF1
Gm10639,None
Znhit6,ZNHIT6
Zfp791,None
Clca4b,None
Clca4c.ps,None
Krtdap,KRTDAP
Adh6b,None
Adh1,ADH1C
Sdhaf1,SDHAF1
Dnajb14,DNAJB14
Misp3,None
Cox7a1,COX7A1
Zfp382,None
Zfp568,None
X4932431P20Rik,None
Spint2,SPINT2
Ap1ar,None
Cib3,CIB3
Gm10651,None
Dda1,DDA1
X4930432M17Rik,None
Gm10653,None
Gramd2,None
Erich4,ERICH4
Amy1,AMY2B
Amy2a5,None
Rec114,REC114
Phldb3,None
Zfp94,None
Zfp109,None
Vmn1r168,None
Smim31,None
Peak1,PEAK1
Vmn1r139,None
Vmn1r132,None
Apoc4,APOC4
Ovgp1,OVGP1
I830077J02Rik,None
Tmigd3,TMIGD3
Tnfaip8l3,TNFAIP8L3
Ccdc61,CCDC61
Psg23,None
C5ar2,C5AR2
Ehd2,EHD2
Crxos,None
Obox5,None
Obox2,None
Sult2a3,None
Sult2a4,None
Bsph1,BSPH1
AI429214,None
Foxr1,FOXR1
H3c13,None
Zfp865,None
Zfp628,None
Pira11,None
Gm15448,None
Gm10693,None
Spopfm2,None
Lce3e,None
Defa28,None
Smcp,SMCP
Defa29,None
Defa5,None
Defa3,None
Defa40,None
Defa31,None
Defa22,None
Defa30,None
Sprr2a3,None
Defa23,None
Defa21,None
Pate9,None
Gm15319,None
Pate2,PATE2
Defb33,None
S100a16,S100A16
Zfp872,None
A230072I06Rik,None
Spc24,SPC24
Mex3a,None
Bglap,BGLAP
Clec4g,CLEC4G
Zfp558,None
Ubtfl1,UBTFL1
Fat3,FAT3
Gm10705,None
Arfip1,None
Zfp971,None
Gm14296,None
Zfp972,None
Gcnt7,GCNT7
Cass4,CASS4
Kcng1,KCNG1
Mocs3,MOCS3
Ripor3,RIPOR3
Lekr1,None
X4931440P22Rik,None
Arfgef2,ARFGEF2
Gm16527,None
Ankub1,ANKUB1
Spint5,None
Wfdc9,WFDC9
Wfdc6a,EPPIN
Spint3,None
Mgst2,MGST2
Tox2,None
X1700034I23Rik,None
Mafb,MAFB
Gm826,None
Arhgap40,ARHGAP40
Mroh8,None
Tldc2,TLDC2
Tmem267,TMEM267
Sox2,SOX2
Rdh16f2,None
Cpne1,CPNE1
X6430550D23Rik,None
Fam83c,FAM83C
BC029722,None
Mcidas,MCIDAS
Myh7b,MYH7B
Lrrc31,None
Gm1527,None
Eif2s2,EIF2S2
Kif5a,KIF5A
Bpifb4,BPIFB4
Tspyl3,None
Ttll9,TTLL9
Foxs1,FOXS1
Sirpb1c,None
Defb25,DEFB124
Defb28,None
Defb26,None
Defb23,None
Zcchc3,ZCCHC3
Il22,IL22
Csnk2a1,CSNK2A1
Rad21l,None
Ccl28,CCL28
Zfp345,None
Zfp950,None
Taf7l2,None
Syndig1,SYNDIG1
Fndc10,FNDC10
Thbd,THBD
Pdzd8,PDZD8
Atxn7l3b,ATXN7L3B
Kiz,KIZ
Smim26,None
Sel1l2,SEL1L2
Ism1,ISM1
Bhmt,BHMT
Ankef1,ANKEF1
Ube2n,UBE2N
Plxnc1,PLXNC1
Hspa12b,HSPA12B
Arrdc3,ARRDC3
Slc4a11,SLC4A11
Itpa,ITPA
Gas2l3,GAS2L3
Hps6,HPS6
Spdye4c,None
Papolb,PAPOLB
Pdzd7,PDZD7
Rslcan18,None
Itpripl1,ITPRIPL1
Gm10767,None
X2010315B03Rik,None
X2410141K09Rik,None
Spata31d1c,None
Hpse2,HPSE2
BC025920,None
Platr25,None
Zfp934,None
Zfp808,None
Cts3,None
Ctsm,None
Ctxn2,CTXN2
Ctla2b,None
Mageb3,None
Cyp2c68,None
Serf2,SERF2
Grk6,GRK6
Lcmt2,LCMT2
B3galt5,B3GALT5
Eif4e1b,EIF4E1B
Ifit3,IFIT3
Sptbn5,None
Ranbp6,RANBP6
Gm815,None
Chst14,CHST14
Inafm2,None
Fam122a,None
Pak6,PAK6
Ptar1,None
Krtap14,None
Grem1,GREM1
Chrm5,CHRM5
Olfr1314,None
Olfr1313,None
Olfr1312,None
Olfr1308,None
Olfr1305,None
Olfr1277,None
Olfr1275,None
Ano3,ANO3
Fibin,FIBIN
Dcdc5,None
Gabrr3,None
Qser1,None
Olfr201,None
Olfr199,None
Pin1rt1,None
Nrbf2,NRBF2
Gm813,None
Fjx1,FJX1
Accsl,ACCSL
Prdm11,PRDM11
H2bc3,H2BC3
Nxpe3,None
Zfp408,None
Slc22a29,None
Gm4981,None
Duxf3,None
Yae1d1,None
Olfr1272,None
Olfr1271,None
Olfr142,None
Olfr1506,None
Olfr1270,None
Olfr32,None
Olfr140,OR4C3
Olfr1264,None
Olfr48,None
Olfr1256,None
Olfr1254,None
Olfr1253,None
Olfr1250,None
Olfr1249,None
Olfr1247,None
Olfr1243,None
Olfr1242,None
Olfr1241,None
Olfr1239,None
Olfr1234,None
Olfr1233,None
Olfr1232,None
Olfr1231,None
Olfr1230,None
Olfr1229,None
Olfr1226,None
Olfr1223,None
Olfr1222,None
Olfr1221,None
Olfr1219,None
Olfr1218,None
Olfr1216,None
Olfr1214,None
Olfr1213,None
Olfr1211,None
Olfr1209,None
Olfr1208,None
Olfr1200,None
Olfr1198,None
Olfr1197,None
Olfr1196,None
Olfr1195,None
Cd80,CD80
Olfr1181,None
Olfr1179,None
Olfr1173,None
Olfr1170,None
Olfr1164,None
Olfr1163,None
Olfr1162,None
Olfr73,None
Olfr1160,None
Olfr74,None
Olfr1157,None
Olfr1156,None
Olfr1155,None
Olfr1154,None
Olfr1141,None
Olfr1138,None
Olfr1137,None
Olfr1136,None
Olfr1135,None
Olfr1133,None
Olfr1128,None
Olfr1111,None
Olfr1110,None
Olfr259,None
Olfr1109,None
Olfr1107,None
Olfr1106,None
Olfr1105,None
Olfr1104,None
Olfr1101,None
Olfr1099,None
Olfr1098,None
Olfr1097,None
Olfr1095,None
Olfr1090,None
Olfr1087,None
Olfr1086,OR5T2
Olfr1085,None
Olfr1079,None
Olfr1066,None
Olfr1061,None
Olfr1058,None
Olfr1057,None
